name,highway,maxspeed,travel_time,lanes_cleaned,capacity_vph
Bergsonstraße,tertiary,50,16.847604861911268,2,3600
Kronwinkler Straße,residential,50,12.57597877527567,1,1800
Kronwinkler Straße,living_street,,3.0425928581738804,1,1800
Kronwinkler Straße,living_street,,13.450543387642998,1,1800
Kronwinkler Straße,living_street,,2.911948987388027,1,1800
Kronwinkler Straße,living_street,,9.371147841563628,1,1800
Aubing-Ost-Straße,residential,30,10.087255164579936,1,1800
Aubing-Ost-Straße,residential,30,24.8618047538135,1,1800
Kronwinkler Straße,living_street,,9.371147841563628,1,1800
Berberichweg,residential,30,4.471242449461667,1,1800
Otto-Klemperer-Weg,residential,30,6.0568880806031276,1,1800
Otto-Klemperer-Weg,residential,30,6.0568880806031276,1,1800
Joseph-Suder-Bogen,residential,30,3.402867917648159,1,1800
Joseph-Suder-Bogen,residential,30,1.1952850773055417,1,1800
Berberichweg,residential,30,4.471242449461667,1,1800
Joseph-Suder-Bogen,residential,30,3.402867917648159,1,1800
Joseph-Suder-Bogen,residential,30,6.068492379099682,1,1800
,motorway,none,8.695701830101493,2,3600
,motorway_link,none,21.147150608237673,1,1800
,motorway_link,80,19.181253496168036,2,3600
,motorway_link,80,6.258971027443369,2,3600
,motorway_link,none,8.095778973322021,2,3600
Bergsonstraße,tertiary,30,20.68526652522872,2,3600
Alte Allee,tertiary,30,8.952686186067515,1,1800
Bergsonstraße,tertiary,30,20.907033299200485,2,3600
Mooswiesenstraße,residential,30,76.25794533448203,1,1800
Elly-Ney-Weg,living_street,,8.092629841727822,1,1800
Alte Allee,tertiary,30,8.952686186067513,1,1800
Alte Allee,tertiary,30,2.8152104508402442,1,1800
Alte Allee,tertiary,30,13.293180511405788,1,1800
Eisenhartstraße,residential,30,15.926065353965145,1,1800
Lucia-Popp-Bogen,residential,30,8.649825778258968,1,1800
Alte Allee,tertiary,30,11.72660850070588,1,1800
Annelies-Kupper-Allee,living_street,,18.10695504412065,1,1800
Lucia-Popp-Bogen,residential,30,8.737383272775936,1,1800
Lucia-Popp-Bogen,residential,30,8.649825778258968,1,1800
Annelies-Kupper-Allee,living_street,,18.106955044120646,1,1800
Elly-Ney-Weg,living_street,,8.092629841727822,1,1800
"['Maria-Ivogün-Allee', 'Elly-Ney-Weg']",living_street,,30.784840576090147,1,1800
"['Maria-Ivogün-Allee', 'Elly-Ney-Weg']",living_street,,30.784840576090154,1,1800
Lucia-Popp-Bogen,residential,30,8.869881195090427,1,1800
Lucia-Popp-Bogen,residential,30,8.737383272775936,1,1800
Smetanastraße,living_street,,19.82160211782314,1,1800
Lucia-Popp-Bogen,residential,30,33.60358147752341,1,1800
Lucia-Popp-Bogen,residential,30,8.04598360755985,1,1800
Smetanastraße,living_street,,8.424126693099648,1,1800
Smetanastraße,living_street,,19.82160211782314,1,1800
"['Rubinsteinstraße', 'Borodinstraße']","['living_street', 'residential']",30,42.95004566825504,1,1800
Smetanastraße,living_street,,8.424126693099648,1,1800
Bergsonstraße,tertiary,30,21.573686902852376,2,3600
Bergsonstraße,tertiary,30,9.580310960711442,2,3600
"['Rubinsteinstraße', 'Borodinstraße']","['living_street', 'residential']",30,42.95004566825504,1,1800
Bergsonstraße,tertiary,30,20.90703329920049,2,3600
Bergsonstraße,tertiary,30,9.768242782240494,2,3600
Jaspersallee,residential,30,7.099766438958737,1,1800
Bergsonstraße,tertiary,30,9.768242782240494,2,3600
Bergsonstraße,tertiary,30,21.57368690285238,2,3600
Lucia-Popp-Bogen,residential,30,33.60358147752341,1,1800
Bergsonstraße,tertiary,30,9.580310960711442,2,3600
Bergsonstraße,tertiary,30,8.389010843848144,2,3600
Jaspersallee,residential,30,7.480395270434033,1,1800
Bergsonstraße,tertiary,30,8.389010843848144,2,3600
Bergsonstraße,tertiary,"['30', '50']",11.902657148804586,2,3600
Jaspersallee,residential,30,6.701509548936461,1,1800
Jaspersallee,residential,30,7.480395270434032,1,1800
Martin-Heidegger-Straße,living_street,,18.51146866320852,1,1800
Jaspersallee,residential,30,10.10729156446554,1,1800
Jaspersallee,residential,30,6.701509548936461,1,1800
Edmund-Husserl-Straße,living_street,,2.3805591904309824,1,1800
Aubing-Ost-Straße,residential,30,4.085250198542147,1,1800
Hornberger Straße,residential,30,8.151771464060678,1,1800
Aubing-Ost-Straße,residential,30,14.25414245352047,1,1800
Aubing-Ost-Straße,residential,30,0.42900379704462993,1,1800
Staufener Straße,residential,30,23.999924223247003,1,1800
Aubing-Ost-Straße,residential,30,14.25414245352047,1,1800
Hornberger Straße,residential,30,8.151771464060682,1,1800
Teckstraße,residential,30,9.486946949080838,1,1800
Teckstraße,residential,30,14.553495004820638,1,1800
Staufener Straße,residential,30,23.999924223247003,1,1800
